sku	price	minimum-seller-allowed-price	maximum-seller-allowed-price	quantity	leadtime-to-ship	fulfillment-channel
A0263/B0263				249		
A0263/B0263/D0263				146		
A0264				439		
A0264/B0264				342		
A0264/B0264/D0264				258		
A0272				171		
A0272/B0272				154		
A0272/B0272/C0272				154		
A0275				288		
A0280				286		
A0280/B0280				286		
A0280/B0280/D0280				138		
A0296				583		
A0296/B0020				481		
A0296/B0097				114		
A0298				764		
A0310				705		
A0310/B0310				705		
A0310/B0310/D0310				164		
A0317				270		
A0317/B0182				115		
A1015				185		
A1015/B1015				3		
A1015/B1015/C1015				3		
A1015/B1020				45		
A1015/B1099				7		
A1017				28		
A1017/B1026				27		
A1017/B1027				28		
A1017/B1028				28		
A1019				77		
A1019/B1019				43		
A1019/B1019/D1051				41		
A1021				23		
A1021/B1021				20		
A1021/B1021/D1014				20		
A1036				28		
A1036/B1036				28		
A1036/B1036/C1036				28		
A1040				20		
A1040/B1040				20		
A1040/B1040/D1093				20		
A1043				207		
A1043/B1043				52		
A1043/B1043/D1043				52		
A1043/B1043/D1044				52		
A1043/B1044				207		
A1043/B1044/D1043				57		
A1043/B1044/D1044				108		
A1043/B1044-P				0		
A1043/B1044-P/D1043				0		
A1043/B1044-P/D1044				0		
A1043/B1326				137		
A1043/B1326/D1043				57		
A1043/B1326/D1044				108		
A1046				124		
A1046/B1046				124		
A1046/B1046/D1046				51		
A1046/B1046/D1181				78		
A1049				28		
A1049/B1049				28		
A1049/B1049/D1049				0		
A1056				42		
A1056/B1056				42		
A1070				40		
A1070/B1070				40		
A1070/B1070/D1070				40		
A1079				0		
A1079/B1079				0		
A1082				13		
A1082/B1082				13		
A1082/B1082/C1082				13		
A1082/B1082/C1082/D1082				9		
A1082/B1082/D1082				9		
A1082/B1109				13		
A1082/B1109/C1082				13		
A1082/B1109/C1082/D1082				9		
A1082/B1109/D1082				9		
A1083				53		
A1083/B1083				53		
A1083/B1083/C1083				53		
A1085				0		
A1085/B1035				0		
A1085/B1035/D1047				0		
A1087				37		
A1087/B1087				37		
A1087/B1087/D1087				37		
A1094				73		
A1094/B1026				27		
A1094/B1027				52		
A1094/B1028				39		
A1100				62		
A1100/B1010				49		
A1100/B1010/C1010				49		
A1100/B1010/C1010/F1010				49		
A1100/B1010/F1010				49		
A1102				62		
A1102/B1102				62		
A1102/B1102/D0102				62		
A1103				6		
A1103/B1103				6		
A1103/B1103/D1103				6		
A1106				79		
A1106/B1106				36		
