sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity
A0150/B0150/D0150-FBA	X000NCP6A5	B00HZOCCFU	MAXFLOORMAT Floor Mats and MAXTRAY Cargo Liner for Jeep Cherokee (2014-2017) Complete Set (Black)	New	215.97	No		Yes	6	6	0	0	11	5.67	0	5	0
A0151-FBA	X000NFN4J7	B00HYHXKCW	MAXFLOORMAT Floor Mats for Nissan Rogue (2014-2017) First Row Set (Black)	New	85.49	No		Yes	0	0	0	0	0	2.86	0	0	0
A0151/B0151-FBA	X000NFN3Y3	B00HZOCC3C	MAXFLOORMAT Floor Mats for Nissan Rogue (2014-2017) Complete Set (Black)	New	143.98	No		Yes	5	5	0	0	32	2.86	0	24	3
A0151/B0151-XXX	X000YPQFLZ	B00HZOCC3C	MAXFLOORMAT Floor Mats for Nissan Rogue (2014-2017) Complete Set (Black)	New	143.98	No		Yes	34	34	0	0	39	2.86	0	5	0
A0151/B0151/D0151-FBA	X000NI6LCB	B00HZOCCBY	MAXFLOORMAT Floor Mats and MAXTRAY Cargo Liner for Nissan Rogue (2014-2017)  Does not fit vehicles with 3rd row or the Rogue Select.  Complete Set (Black)	New	215.97	No		Yes	19	19	0	0	19	5.6	0	0	0
A0151/B0151/D0237	B06XDG7J9W	B06XDG7J9W	MAXFLOORMAT Floor Mats and MAXTRAY Cargo Liner for Nissan Rogue With 3rd Row Seat (2014-2017) Complete Set(Black)	New	224.97	Yes	238	No	9	9	0	0	9	4.99	0	0	0
A0151/B0151/D0237-FBA	B06XDG7J9W	B06XDG7J9W	MAXFLOORMAT Floor Mats and MAXTRAY Cargo Liner for Nissan Rogue With 3rd Row Seat (2014-2017) Complete Set(Black)	New	224.97	No		Yes	9	9	0	0	9	4.99	0	0	0
A0152-FBA	X000XXZUIH	B00HYHXK0E	MAXFLOORMAT Floor Mats for Toyota Highlander (2014-2017) First Row Set (Black)	New	85.49	No		Yes	0	0	0	0	0	2.61	0	0	0
A0152/B0152-FBA	X000N45YHN	B00HZOCC8W	MAXFLOORMAT Floor Mats for Toyota Highlander (2014-2017) (2 Row Set) (Black)	New	143.98	No		Yes	4	4	0	0	4	2.77	0	0	0
A0152/B0152/C0152-FBA	X000N45YI7	B00HZOCFMA	MAXFLOORMAT Floor Mats for Toyota Highlander (2014-2017) (3 Row Set) (Black)	New	202.47	No		Yes	1	1	0	0	1	2.77	0	0	0
A0152/B0152/C0152-XXX	X000VMIG2H	B00HZOCFMA	MAXFLOORMAT Floor Mats for Toyota Highlander (2014-2017) (3 Row Set) (Black)	New	202.47	No		Yes	2	2	0	0	2	2.77	0	0	0
A0152/B0152/C0152/D0152-FBA	X000N45YHX	B00HZOCFIY	MAXFLOORMAT Floor Mats (3 Row Set) and MAXTRAY Cargo Liner (Behind 2nd Row) for Toyota Highlander (2014-2017) (Black)	New	292.46	No		Yes	4	3	0	1	4	5.49	0	0	0
A0152/B0152/C0152/E0152-FBA	X000PMY8Z7	B00VEINZRM	MAXFLOORMAT Floor Mats (3 Row Set) and MAXTRAY Cargo Liner (Behind 3rd Row) for Toyota Highlander (2014-2017) (Black)	New	274.46	No		Yes	2	2	0	0	2	5.53	0	0	0
A0152/B0152/D0152-FBA	X000N45YHD	B00HZOCFKW	MAXFLOORMAT Floor Mats and MAXTRAY Cargo Liner (Behind 2nd Row) for Toyota Highlander (2014-2017) (2 Row Set) (Black)	New	233.97	No		Yes	3	3	0	0	3	5.32	0	0	0
A0152/B0152/D0152-XXX	X000VN02V9	B00HZOCFKW	MAXFLOORMAT Floor Mats and MAXTRAY Cargo Liner (Behind 2nd Row) for Toyota Highlander (2014-2017) (2 Row Set) (Black)	New	233.97	No		Yes	4	4	0	0	4	5.32	0	0	0
A0152/B0152/E0152-FBA	X000PMY8XT	B00VEIS09K	MAXFLOORMAT Floor Mats and MAXTRAY Cargo Liner (Behind 3rd Row) for Toyota Highlander (2014-2017) (2 Row Set) (Black)	New	215.97	No		Yes	2	2	0	0	2	3.34	0	0	0
A0152/B0201-FBA	X000YU6DTT	B014F68BQ4	MAXFLOORMAT Floor Mats for Toyota Highlander With Bucket Seats Non-Hybrid (2014-2017) (3 Row Set) (Black)	New	152.98	No		Yes	19	19	0	0	49	2.66	0	30	0
A0152/B0201/D0152-FBA	X000YU6ES9	B014F68GKK	MAXFLOORMAT Floor Mats and MAXTRAY Cargo Liner (Behind 2nd Row) for Highlander With Bucket Seats (2014-2017) (Black)	New	242.97	No		Yes	6	5	0	1	7	5.24	0	1	0
A0152/B0201/E0152-FBA	X000YU6FG5	B014F68L1O	MAXFLOORMAT Floor Mats and MAXTRAY Cargo Liner (Behind 3rd Row) for Highlander With Bucket Seats (2014-2017) (Black)	New	224.97	No		Yes	2	2	0	0	22	5.46	0	20	0
A0156-FBA	X000XXZUMN	B00VGG3QW6	MAXLINER Custom Fit First Row Floor Mat for Select Honda Civic Models - (Black)	New	85.49	No		Yes	0	0	0	0	0	-0	0	0	0
